Id,Province/State,country,Lat,Long,Date,ConfirmedCases,Fatalities,day_from_jan_first,temp,min,max,stp,slp,dewp,rh,ah,wdsp,prcp,fog
29,,Afghanistan,33,65,19-02-2020,0,0,50,23.9,16.2,33.1,778.6,1025.4,12.1,0.602640499,-0.127168273,5,0.04,1
30,,Afghanistan,33,65,20-02-2020,0,0,51,26,12.9,38.3,778.5,1024.1,10.1,0.505431337,-0.157133084,7.2,0,0
31,,Afghanistan,33,65,21-02-2020,0,0,52,34.5,22.6,44.4,778.5,1019.1,23.1,0.627170567,0.661173585,6.4,0,1
32,,Afghanistan,33,65,22-02-2020,0,0,53,37.9,26.4,52,781.1,1020.7,22.4,0.532220261,0.272038349,5.6,0,1
33,,Afghanistan,33,65,23-02-2020,0,0,54,39.3,28.2,50.2,779.4,1017.7,23.8,0.534254227,0.233166778,6.4,0,1
34,,Afghanistan,33,65,24-02-2020,1,0,55,40,32.4,48,778.4,1015.9,32.7,0.748905197,0.306514235,4,0.47,1
35,,Afghanistan,33,65,25-02-2020,1,0,56,40.2,32.9,47.5,778.1,1015.4,28.2,0.618932608,0.249074281,5.8,0,1
36,,Afghanistan,33,65,26-02-2020,1,0,57,46.7,35.2,55.9,775.4,1008.4,28.2,0.482120528,0.138939395,6.2,0,1
37,,Afghanistan,33,65,27-02-2020,1,0,58,39.3,33.4,48,772.6,1008.7,33.4,0.791610444,0.345485815,5.8,1.57,1
38,,Afghanistan,33,65,28-02-2020,1,0,59,36.5,29.5,44.8,773.4,1011.4,29.9,0.767225029,0.486527356,2.8,0.47,1
39,,Afghanistan,33,65,29-02-2020,1,0,60,36.5,29.5,44.8,773.4,1011.4,29.9,0.767225029,0.486527356,2.8,0.47,1
40,,Afghanistan,33,65,01-03-2020,1,0,61,58.6,45.7,73.4,999.9,1014.2,31,0.348009558,0.086068866,1.4,0,0
41,,Afghanistan,33,65,02-03-2020,1,0,62,36.3,32.2,48.7,771.7,1009.2,31.3,0.818553666,0.538934894,5.8,0,1
42,,Afghanistan,33,65,03-03-2020,1,0,63,36.3,32.2,48.7,771.7,1009.2,31.3,0.818553666,0.538934894,5.8,0,1
43,,Afghanistan,33,65,04-03-2020,1,0,64,35.4,28.4,47.7,771.1,1008.9,28,0.741539135,0.59579778,3.4,0.35,1
44,,Afghanistan,33,65,05-03-2020,1,0,65,31.9,27.3,38.5,772.6,1012.9,23.9,0.719891698,-17.09249567,5.1,1.57,1
45,,Afghanistan,33,65,06-03-2020,1,0,66,34.1,25.2,45,773.5,1012.8,20.7,0.575927069,0.711339539,4.6,0,1
46,,Afghanistan,33,65,07-03-2020,1,0,67,25,18.1,34.7,774.9,1019.9,11.3,0.555647361,-0.142046169,6.6,0,1
47,,Afghanistan,33,65,08-03-2020,4,0,68,28.6,16.5,42.1,774.7,1017.5,10,0.452089242,-0.27606323,3.6,0,1
48,,Afghanistan,33,65,09-03-2020,4,0,69,31.1,23,41.9,774,1015.2,22.2,0.692369401,-1.768409545,4.4,0,1
49,,Afghanistan,33,65,10-03-2020,5,0,70,28.9,24.3,39,773.3,1015.6,17,0.606746166,-0.411377896,5.3,0.12,1
50,,Afghanistan,33,65,11-03-2020,7,0,71,26.7,21.7,32.9,772.3,1015.6,16.7,0.655621818,-0.237523862,3.9,0,1
51,,Afghanistan,33,65,12-03-2020,7,0,72,30.7,16.9,47.7,775.4,1017.3,20.4,0.652115676,-1.13455383,2.9,0,1
52,,Afghanistan,33,65,13-03-2020,7,0,73,35.7,24.3,53.1,778.8,1019,18.4,0.489898628,0.366037992,3,0,1
53,,Afghanistan,33,65,14-03-2020,11,0,74,36.4,26.8,53.4,778.2,1017.6,18,0.46838447,0.30257113,5.3,0,1
54,,Afghanistan,33,65,15-03-2020,16,0,75,40.1,29.3,52.7,777.7,1015,15.7,0.366766678,0.148837304,9,0,0
55,,Afghanistan,33,65,16-03-2020,21,0,76,40.1,29.3,52.7,777.7,1015,15.7,0.366766678,0.148837304,9,0,0
56,,Afghanistan,33,65,17-03-2020,22,0,77,43.8,35.8,56.3,778.5,1013.9,32.6,0.643933456,0.206971707,4.8,0.04,1
57,,Afghanistan,33,65,18-03-2020,22,0,78,43.8,35.8,56.3,778.5,1013.9,32.6,0.643933456,0.206971707,4.8,0.04,1
58,,Afghanistan,33,65,19-03-2020,22,0,79,45.2,32,59.7,775.3,1009.5,32.5,0.607897216,0.184276798,5.3,0.31,1
59,,Afghanistan,33,65,20-03-2020,24,0,80,39.4,32.7,43.5,773.2,1009.4,35.5,0.857493195,0.370628425,4.8,1.22,1
60,,Afghanistan,33,65,21-03-2020,24,0,81,42.4,34.7,54.3,776.3,1011.9,29.8,0.60673478,0.209660919,2.7,2.2,1
61,,Afghanistan,33,65,22-03-2020,40,1,82,44.7,35.8,53.8,774.7,1008.5,31.6,0.597520499,0.184701844,7.5,0,1
62,,Afghanistan,33,65,23-03-2020,40,1,83,45,37.9,50.4,769.8,1001.9,36.6,0.721466235,0.220380045,7.3,0.47,1
63,,Afghanistan,33,65,24-03-2020,74,1,84,33.1,24.1,43.2,771.6,1010.9,28.5,0.829775564,1.879713428,4.6,5.43,1
94,,Albania,41.1533,20.1683,22-01-2020,0,0,22,42.3,31.3,55.8,18.9,1029.3,32.8,0.687721065,0.23902884,0.2,0,0
95,,Albania,41.1533,20.1683,23-01-2020,0,0,23,44.1,34.2,59.4,13.9,1024.2,36.1,0.732094071,0.232129251,0.2,0,0
96,,Albania,41.1533,20.1683,24-01-2020,0,0,24,46.7,32,63,15.4,1025.7,34.8,0.629623174,0.181447289,0.8,0,0
97,,Albania,41.1533,20.1683,25-01-2020,0,0,25,51.5,42.4,59,13.8,1023.9,45.3,0.791856496,0.205985282,0.7,0,1
98,,Albania,41.1533,20.1683,26-01-2020,0,0,26,52.5,49.6,55.8,8.8,1018.8,51.8,0.97439338,0.250212276,0.5,0.06,1
99,,Albania,41.1533,20.1683,27-01-2020,0,0,27,50.9,49.3,55,4.4,1014.5,50.7,0.992574625,0.260514135,2.5,1.38,1
100,,Albania,41.1533,20.1683,28-01-2020,0,0,28,52.7,48.2,57.2,4.1,1014.2,47.7,0.829612022,0.212542417,1.6,0.08,1
101,,Albania,41.1533,20.1683,29-01-2020,0,0,29,54,50.4,62.2,999,1008.9,51.2,0.901614307,0.228011871,1.7,1.1,1
102,,Albania,41.1533,20.1683,30-01-2020,0,0,30,49.8,43.5,60.4,5.1,1015.2,41,0.715021317,0.191246285,1.7,0.39,1
103,,Albania,41.1533,20.1683,31-01-2020,0,0,31,49.5,37.4,62.6,8.7,1018.8,37.5,0.630571768,0.169633638,1.1,0,0
104,,Albania,41.1533,20.1683,01-02-2020,0,0,32,55.1,49.1,65.1,7.5,1017.5,49.3,0.8066253,0.2022776,1.5,0.01,1
105,,Albania,41.1533,20.1683,02-02-2020,0,0,33,55.7,50,64.4,7.2,1017.2,48.4,0.762886241,0.190601806,1.5,0,0
106,,Albania,41.1533,20.1683,03-02-2020,0,0,34,55.9,46.4,65.1,5.9,1015.9,49.5,0.789276673,0.196977945,1.4,0,0
107,,Albania,41.1533,20.1683,04-02-2020,0,0,35,56.1,46.8,65.5,995.8,1005.7,47.7,0.732253855,0.182557179,4,0,1
108,,Albania,41.1533,20.1683,05-02-2020,0,0,36,47.4,42.1,53.6,985,994.9,29.1,0.487138086,0.137602361,6,0.24,1
109,,Albania,41.1533,20.1683,06-02-2020,0,0,37,42.4,37.4,50,1.5,1011.7,12.9,0.296888101,0.102591501,7.5,0,0
110,,Albania,41.1533,20.1683,07-02-2020,0,0,38,42.6,33.8,57.9,9,1019.3,20,0.400390129,0.136798322,1,0,0
111,,Albania,41.1533,20.1683,08-02-2020,0,0,39,46.3,31.6,59,14,1024.3,27.5,0.475614996,0.138776458,0.3,0,0
112,,Albania,41.1533,20.1683,09-02-2020,0,0,40,46.3,34.7,61.5,18.1,1028.3,33.9,0.616676553,0.179935848,1,0,0
113,,Albania,41.1533,20.1683,10-02-2020,0,0,41,51,42.1,59.4,12.5,1022.7,43.6,0.75591028,0.198090654,1.8,0,0
114,,Albania,41.1533,20.1683,11-02-2020,0,0,42,59,53.6,64.4,1.9,1011.8,51.4,0.757198695,0.18717442,2.5,0,0
115,,Albania,41.1533,20.1683,12-02-2020,0,0,43,57.5,53.2,65.5,2.1,1012,54.4,0.893068024,0.22141263,2,0,1
116,,Albania,41.1533,20.1683,13-02-2020,0,0,44,53.8,44.6,67.6,9.1,1019.2,43.7,0.684102795,0.173312007,0.8,0,0
117,,Albania,41.1533,20.1683,14-02-2020,0,0,45,51.9,48.2,57.6,4,1014,43.5,0.728241579,0.18840666,2.1,0.59,1
118,,Albania,41.1533,20.1683,15-02-2020,0,0,46,51.2,39.9,65.1,7.7,1017.8,32.5,0.484913694,0.126690298,1.8,0,0
119,,Albania,41.1533,20.1683,16-02-2020,0,0,47,51.2,40.1,64.8,14.6,1024.8,32.7,0.488832977,0.127714264,1.2,0,0
120,,Albania,41.1533,20.1683,17-02-2020,0,0,48,50.6,38.5,64.4,13.3,1023.4,39.4,0.652027765,0.171959755,0.7,0,0
121,,Albania,41.1533,20.1683,18-02-2020,0,0,49,50.7,39.2,62.2,8.3,1018.4,44.3,0.785204268,0.206744584,0.8,0,0
122,,Albania,41.1533,20.1683,19-02-2020,0,0,50,52.5,45.5,64,5.1,1015.2,48.2,0.851680124,0.218701016,0.4,0,0
123,,Albania,41.1533,20.1683,20-02-2020,0,0,51,51.2,46.8,58.1,2.6,1012.6,35.7,0.551114105,0.143986056,4.1,0.21,1
124,,Albania,41.1533,20.1683,21-02-2020,0,0,52,45.7,33.1,58.3,8.1,1018.3,26.8,0.472752027,0.140735012,0.8,0,0
125,,Albania,41.1533,20.1683,22-02-2020,0,0,53,49,40.6,58.6,13.1,1023.3,27.2,0.424244104,0.115302303,3.3,0,0
126,,Albania,41.1533,20.1683,23-02-2020,0,0,54,48.5,36.3,60.1,13.4,1023.6,33.7,0.562945091,0.15470052,1.5,0,0
127,,Albania,41.1533,20.1683,24-02-2020,0,0,55,51.6,39.2,66.2,7.4,1017.4,42.6,0.711320897,0.184776698,2.6,0,0
128,,Albania,41.1533,20.1683,25-02-2020,0,0,56,55.6,43.2,67.1,2.2,1012.2,47.1,0.729016966,0.182244697,0.8,0,0
129,,Albania,41.1533,20.1683,26-02-2020,0,0,57,57.1,46.4,65.8,993.9,1003.8,45.9,0.659536442,0.163727147,4.5,0,0
130,,Albania,41.1533,20.1683,27-02-2020,0,0,58,48.9,44.6,56.5,995.2,1005.2,42.7,0.789837433,0.215125145,5,0.47,1
131,,Albania,41.1533,20.1683,28-02-2020,0,0,59,46,41,53.2,999.3,1009.4,40.7,0.815651885,0.240338161,2.3,0.63,1
132,,Albania,41.1533,20.1683,29-02-2020,0,0,60,45.8,33.8,59,6.3,1016.4,29.1,0.517612064,0.153556258,1.7,0,0
133,,Albania,41.1533,20.1683,01-03-2020,0,0,61,52.4,39.6,67.3,3.9,1013.9,35.6,0.525019772,0.134979016,1.2,0,0
134,,Albania,41.1533,20.1683,02-03-2020,0,0,62,63,52.7,69.8,998.5,1008.3,48.2,0.582269135,0.144624865,5.5,0,0
135,,Albania,41.1533,20.1683,03-03-2020,0,0,63,63.3,54.7,70.7,993,1002.7,46,0.53008988,0.131795805,7.2,0,1
136,,Albania,41.1533,20.1683,04-03-2020,0,0,64,50.6,47.1,54.5,993.9,1003.9,46,0.840954024,0.221785414,2.1,1.34,1
137,,Albania,41.1533,20.1683,05-03-2020,0,0,65,53,46.4,61.7,996.4,1006.3,42.3,0.667605795,0.170473119,1.5,0.01,0
138,,Albania,41.1533,20.1683,06-03-2020,0,0,66,52.9,44.6,62.6,995,1004.9,39.6,0.603368938,0.154236692,2.4,0.08,1
139,,Albania,41.1533,20.1683,07-03-2020,0,0,67,52.7,49.6,57.9,995.4,1005.3,51.6,0.960056477,0.245961628,2,0.87,1
140,,Albania,41.1533,20.1683,08-03-2020,0,0,68,52.6,48.2,59.9,999.4,1009.3,48.6,0.86140712,0.220940893,3.5,0.79,1
141,,Albania,41.1533,20.1683,09-03-2020,2,0,69,52.2,47.5,60.1,998.4,1008.4,44.4,0.745477251,0.192126392,2.1,0.01,1
142,,Albania,41.1533,20.1683,10-03-2020,10,0,70,52,40.1,62.6,999.4,1009.4,40.7,0.651127741,0.168236713,1.4,0,0
143,,Albania,41.1533,20.1683,11-03-2020,12,1,71,52.8,44.6,63,5.4,1015.4,41.4,0.649540662,0.166222313,2.4,0,0
144,,Albania,41.1533,20.1683,12-03-2020,23,1,72,56.1,44.6,72.5,7,1016.9,46,0.686580765,0.171170485,0.5,0,0
145,,Albania,41.1533,20.1683,13-03-2020,33,1,73,58.4,49.3,74.1,1,1010.9,50.1,0.737166637,0.182373832,0.8,0,0
146,,Albania,41.1533,20.1683,14-03-2020,38,1,74,59.2,50.7,72.7,999.9,1009.8,53.7,0.818533597,0.202300103,0.8,0,0
147,,Albania,41.1533,20.1683,15-03-2020,42,1,75,55.8,52.2,59.7,2.2,1012.2,48.7,0.768732169,0.191954956,3.3,0.51,1
148,,Albania,41.1533,20.1683,16-03-2020,51,1,76,55.5,43.2,68.7,10.9,1020.9,28.9,0.357563598,0.089439167,5,0,0
149,,Albania,41.1533,20.1683,17-03-2020,55,1,77,52.7,42.1,63.7,15.3,1025.4,27.8,0.378851338,0.097059802,2.8,0,0
150,,Albania,41.1533,20.1683,18-03-2020,59,2,78,56.4,42.8,72.3,10.9,1021,38.2,0.502356602,0.125061545,1.9,0,0
151,,Albania,41.1533,20.1683,19-03-2020,64,2,79,57.9,47.3,68.4,11.2,1021.2,33.6,0.396356023,0.098160288,1.5,0,0
152,,Albania,41.1533,20.1683,20-03-2020,70,2,80,56,45.5,68.7,9,1019,42.3,0.598004718,0.149163979,2.5,0,0
153,,Albania,41.1533,20.1683,21-03-2020,76,2,81,57.5,44.6,73.4,4.2,1014.1,44,0.604540736,0.149879909,1,0,0
154,,Albania,41.1533,20.1683,22-03-2020,89,2,82,58.5,48.2,69.8,0.1,1010,42.8,0.556778938,0.13772282,2,0,1
155,,Albania,41.1533,20.1683,23-03-2020,104,4,83,51.1,46.8,56.1,0.8,1010.8,40.2,0.660290884,0.172769075,2.7,0.01,1
156,,Albania,41.1533,20.1683,24-03-2020,123,5,84,44.2,39.2,51.4,3.1,1013.2,35,0.698099012,0.220378688,2.3,0.03,0
187,,Algeria,28.0339,1.6596,22-01-2020,0,0,22,64.9,49.6,82.4,999.9,1017.1,25.7,0.223737256,0.055996462,5.5,0,0
188,,Algeria,28.0339,1.6596,23-01-2020,0,0,23,62,44.6,80.6,999.9,1019.6,24.3,0.233886979,0.057934869,1.6,0,0
189,,Algeria,28.0339,1.6596,24-01-2020,0,0,24,62.6,48.2,80.6,999.9,1021.6,29.3,0.281433885,0.069818915,0.9,0,0
190,,Algeria,28.0339,1.6596,25-01-2020,0,0,25,64.8,50,77,999.9,1021.6,27.8,0.244860956,0.061254205,3.8,0,0
191,,Algeria,28.0339,1.6596,26-01-2020,0,0,26,68.1,55.4,82.4,999.9,1019.4,38.6,0.336623185,0.085867087,2.7,0,0
192,,Algeria,28.0339,1.6596,27-01-2020,0,0,27,66.9,59,78.8,999.9,1020.3,30.3,0.251964425,0.063762083,13.2,0,0
193,,Algeria,28.0339,1.6596,28-01-2020,0,0,28,63.8,55.4,75.2,999.9,1021.8,34.7,0.335397172,0.083542753,14.5,0,0
194,,Algeria,28.0339,1.6596,29-01-2020,0,0,29,64.2,55,75.6,999.9,1022.2,31.9,0.295548598,0.073736487,14.4,0,0
195,,Algeria,28.0339,1.6596,30-01-2020,0,0,30,64,53.2,77,999.9,1022.6,25.1,0.225263336,0.056154521,11.5,0,0
196,,Algeria,28.0339,1.6596,31-01-2020,0,0,31,66.9,52.7,82.4,999.9,1020.7,23.5,0.190321652,0.048162771,12.4,0,0
197,,Algeria,28.0339,1.6596,01-02-2020,0,0,32,69.9,59,82.4,999.9,1020.2,27.6,0.203329262,0.052577433,11.9,0,0
198,,Algeria,28.0339,1.6596,02-02-2020,0,0,33,67.4,57.2,79,999.9,1022.9,28.8,0.232916788,0.059131063,14.2,0,0
199,,Algeria,28.0339,1.6596,03-02-2020,0,0,34,67,58.6,78.8,999.9,1024.5,32,0.268984618,0.068111933,18.2,0,0
200,,Algeria,28.0339,1.6596,04-02-2020,0,0,35,70.3,57,82.6,999.9,1024,35.1,0.271666417,0.070479098,13.7,0,0
201,,Algeria,28.0339,1.6596,05-02-2020,0,0,36,68.1,50,84.2,999.9,1019.2,34.4,0.285066231,0.072715749,6.1,0,0
202,,Algeria,28.0339,1.6596,06-02-2020,0,0,37,65.2,57.2,75.2,999.9,1020.5,30.8,0.272902479,0.068401842,16.4,0,0
203,,Algeria,28.0339,1.6596,07-02-2020,0,0,38,62.4,51.8,75.2,999.9,1022.1,19.4,0.187523759,0.046496014,20.5,0,0
204,,Algeria,28.0339,1.6596,08-02-2020,0,0,39,65.8,55,82.4,999.9,1020.6,17.5,0.153323801,0.038550953,11.7,0,0
205,,Algeria,28.0339,1.6596,09-02-2020,0,0,40,67.9,55.4,82.4,999.9,1021.6,24.2,0.189267521,0.048211882,13.6,0,0
206,,Algeria,28.0339,1.6596,10-02-2020,0,0,41,70.1,59,82.6,999.9,1024.9,21.9,0.159258275,0.041248594,15.2,0,0
207,,Algeria,28.0339,1.6596,11-02-2020,0,0,42,70.4,60.8,81,999.9,1024,21.7,0.156297304,0.040582429,11,0,0
208,,Algeria,28.0339,1.6596,12-02-2020,0,0,43,71.3,65.1,80.6,999.9,1022.3,16.9,0.12347747,0.032310059,5.5,0,0
209,,Algeria,28.0339,1.6596,13-02-2020,0,0,44,72,59,84.4,999.9,1020,34.4,0.249221099,0.065625963,4.9,0,0
210,,Algeria,28.0339,1.6596,14-02-2020,0,0,45,70.4,59,82.6,999.9,1019.8,26.7,0.192580336,0.05000328,12.6,0,0
211,,Algeria,28.0339,1.6596,15-02-2020,0,0,46,72.9,64,84.2,999.9,1020,26.7,0.176782493,0.046946845,17.2,0,0
212,,Algeria,28.0339,1.6596,16-02-2020,0,0,47,72.9,64.2,84.4,999.9,1021.2,24.5,0.16135928,0.042851014,20,0,0
213,,Algeria,28.0339,1.6596,17-02-2020,0,0,48,69.9,61.5,81.5,999.9,1021.3,29.2,0.21711121,0.056141206,17.3,0,0
214,,Algeria,28.0339,1.6596,18-02-2020,0,0,49,66.1,53.1,77,999.9,1021.3,31.1,0.267658852,0.067411364,15.7,0,0
215,,Algeria,28.0339,1.6596,19-02-2020,0,0,50,67.7,55.4,80.6,999.9,1018.7,27.6,0.219424968,0.055817498,14.7,0,0
216,,Algeria,28.0339,1.6596,20-02-2020,0,0,51,69.9,58.5,82.4,999.9,1016.9,23.7,0.172955384,0.044723273,15.1,0,0
217,,Algeria,28.0339,1.6596,21-02-2020,0,0,52,71.4,60.8,85.1,999.9,1018.1,26.3,0.18302845,0.0479351,13.4,0,0
218,,Algeria,28.0339,1.6596,22-02-2020,0,0,53,70.7,60.8,82.4,999.9,1021.6,26.4,0.188255614,0.049004396,19.5,0,0
219,,Algeria,28.0339,1.6596,23-02-2020,0,0,54,67.7,56.1,78.8,999.9,1024.6,23.3,0.183546142,0.046690614,19.1,0,0
220,,Algeria,28.0339,1.6596,24-02-2020,0,0,55,67.7,55,81,999.9,1023.1,25.5,0.201186969,0.051178102,18.2,0,0
221,,Algeria,28.0339,1.6596,25-02-2020,1,0,56,69.8,60.6,82.4,999.9,1018.6,25.5,0.18707308,0.048334874,6.7,0,0
222,,Algeria,28.0339,1.6596,26-02-2020,1,0,57,68.4,47.5,84.2,999.9,1016.5,22.6,0.173949871,0.04446664,5.1,0,0
223,,Algeria,28.0339,1.6596,27-02-2020,1,0,58,69.5,51.6,82.4,999.9,1018.5,21.4,0.159191991,0.041033128,8,0,0
224,,Algeria,28.0339,1.6596,28-02-2020,1,0,59,70.6,54.7,84.2,999.9,1019.5,24.3,0.173123512,0.0450271,10.7,0,0
225,,Algeria,28.0339,1.6596,29-02-2020,1,0,60,73.7,61.5,89.6,999.9,1016.6,23,0.147477317,0.039472724,9.5,0,0
226,,Algeria,28.0339,1.6596,01-03-2020,1,0,61,74.5,62.6,90,999.9,1014.5,19.1,0.12168627,0.032835272,7.3,0,0
227,,Algeria,28.0339,1.6596,02-03-2020,3,0,62,73.1,53.6,90,999.9,1015.3,21.6,0.141901593,0.03775668,2.8,0,0
228,,Algeria,28.0339,1.6596,03-03-2020,5,0,63,72.8,51.4,87.8,999.9,1017.6,20.8,0.1385883,0.036768596,6.4,0,0
229,,Algeria,28.0339,1.6596,04-03-2020,12,0,64,73.8,53.6,89.6,999.9,1018.8,25.3,0.161794093,0.043347979,3.8,0,0
230,,Algeria,28.0339,1.6596,05-03-2020,12,0,65,70.7,51.8,87.8,999.9,1017.6,27.9,0.200260868,0.052129456,3.6,0,0
231,,Algeria,28.0339,1.6596,06-03-2020,17,0,66,72.8,50,93.2,999.9,1012.1,25.4,0.168088699,0.04459529,3.4,0,0
232,,Algeria,28.0339,1.6596,07-03-2020,17,0,67,71.3,55,79.9,999.9,1012.8,24.2,0.16830846,0.044040879,16.3,0,0
233,,Algeria,28.0339,1.6596,08-03-2020,19,0,68,64.5,55.4,74.3,999.9,1019.5,18.6,0.168245784,0.04203039,17.3,0,0
234,,Algeria,28.0339,1.6596,09-03-2020,20,0,69,63.8,52.9,75.6,999.9,1019.8,18.7,0.17319226,0.043139774,14.6,0,0
235,,Algeria,28.0339,1.6596,10-03-2020,20,0,70,63.1,42.6,79,999.9,1018.6,19.8,0.186067614,0.046230695,9.3,0,0
236,,Algeria,28.0339,1.6596,11-03-2020,20,0,71,64,41.4,75.2,999.9,1020.2,24.5,0.219705137,0.054768952,17.4,0,0
237,,Algeria,28.0339,1.6596,12-03-2020,24,1,72,68.1,56.7,84.2,999.9,1017.2,28.6,0.225462023,0.057511687,22.5,0,0
238,,Algeria,28.0339,1.6596,13-03-2020,26,2,73,70.9,59,86,999.9,1014.6,24.5,0.172783577,0.045054151,10.4,0,0
239,,Algeria,28.0339,1.6596,14-03-2020,37,3,74,74.8,61.2,91.4,999.9,1013.7,22,0.136228971,0.036874113,3.4,0,0
240,,Algeria,28.0339,1.6596,15-03-2020,48,4,75,77.7,61.7,93.2,999.9,1010.2,18.9,0.108338146,0.030276294,7.4,0,0
241,,Algeria,28.0339,1.6596,16-03-2020,54,4,76,78.1,66.7,89.8,999.9,1005.4,14.9,0.089963679,0.025258419,12.4,0,0
242,,Algeria,28.0339,1.6596,17-03-2020,60,4,77,73.5,54.7,91.4,999.9,1009.8,15.8,0.109225026,0.029176362,2.2,0,0
243,,Algeria,28.0339,1.6596,18-03-2020,74,7,78,78.5,64.2,91.8,999.9,1010.1,20.6,0.113402164,0.031989062,11.7,0,0
244,,Algeria,28.0339,1.6596,19-03-2020,87,9,79,79.1,66.2,91.4,999.9,1007.9,26,0.139396146,0.039603705,13.5,0,0
245,,Algeria,28.0339,1.6596,20-03-2020,90,11,80,68.4,51.1,80.6,999.9,1007.5,23.8,0.182927057,0.046761469,6.9,0,0
246,,Algeria,28.0339,1.6596,21-03-2020,139,15,81,70.2,49.8,86,999.9,1008.9,24.1,0.17406323,0.045120262,5,0,0
247,,Algeria,28.0339,1.6596,22-03-2020,201,17,82,74.2,59,86.9,999.9,1008.5,30.5,0.197625316,0.053162445,5.6,0,0
248,,Algeria,28.0339,1.6596,23-03-2020,230,17,83,74.9,56.5,91.4,999.9,1005.3,24.6,0.151401705,0.041023951,7.5,0,0
